Name,Total Calories (kcal),Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Total Sugars (g),Protein (g),Vitamin D (mcg),Calcium (mg),Iron (mg),Potassium (mg),Monounsaturated Fat (g),Polyunsaturated Fat (g),Linoleic Acid (g),α-Linolenic Acid (g),Omega 3 - EPA (mg),Omega 3 - DHA (mg),Copper (mcg),Magnesium (mg),Phosphorus (mg),Selenium (mcg),Zinc (mg),Vitamin A (mcg),Vitamin B6 (mg),Vitamin B12 (mcg),Vitamin C (mg),Vitamin E (mg),Vitamin K (mcg),Folate (mcg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Choline (mg),Vitamin B12 (mg),Copper (mg),Selenium (mg),Vitamin D (mg),Zinc (mcg),Iron (g),Phosphorus (mcg)
2-Step Chicken,181,10,2,48,537,5,0,0,17,0,19,1,164,4,3,2,0.2,5,10,125,18,137,15,1,36,0.3,0.2,0,1,7,4,0,0.1,7,50,0,0,0,0,0,0,0
20-Minute Chicken Creole,76,3,0,21,251,6,2,3,8,0,34,1,427,1,1,1,0.1,1,1,90,20,74,8,0,25,0.4,0,34,1,12,16,0.3,0.1,3,24,0,0,0,0,0,0,0
3-Can Chili,129,1,0,0,418,27,6,4,6,0,61,2,473,0,1,0,0.1,0,0,196,45,126,4,1,14,0.2,0,15,1,4,57,0.5,0.1,2,36,0,0,0,0,0,0,0
5 A Day Bulgur Wheat,647,10,1,0,745,112,31,18,33,0,171,9,1159,3,4,4,0.2,0,0,889,169,530,13,5,154,0.6,0,36,2,70,316,0.4,0.3,4,152,0,0,0,0,0,0,0
5 A Day Salad,99,1,0,0,100,21,8,10,5,0,119,2,1166,0,0,0,0.1,0,0,305,80,142,1,1,818,0.6,0,129,2,261,181,0.2,0.3,2,48,0,0,0,0,0,0,0
A Simple Mexican Salad,46,0,0,0,306,11,2,8,1,0,42,0,274,0,0,0,0,0,0,106,20,32,1,0,16,0.1,0,43,0,8,36,0.1,0.1,0,12,0,0,0,0,0,0,0
Angel Food Cake,152,0,0,0,104,33,0,25,5,0,4,1,107,0,0,0,0,0,0,0,6,16,0,0,0,0,0,0,0,0,32,0.1,0.2,1,1,0,25000,10000,0,0,0,0
Angel Food Pastry with Fresh Berries and Whipped Cream,161,2,1,2,259,34,2,25,4,0,108,0,160,0,0,0,0.1,0,0,57,15,152,5,0,5,0,0.2,18,0,2,30,0,0.2,0,9,0,0,0,0,0,0,0
Anytime Pizza,180,7,3,15,502,18,2,4,11,0,251,1,335,2,0,0,0.1,0,0,0,29,212,0,1,0,0.2,0.7,22,0,11,58,0.2,0.2,2,18,0,160000,11000,0,0,0,0
Apple & Chicken Salad,290,8,2,65,330,34,4,12,25,0,56,2,553,2,3,6,0.7,7,14,140,38,208,19,1,70,0.6,0.3,7,1,43,36,0.1,0.2,10,69,0,0,0,0,0,0,0
Apple Banana Salad with Peanuts,330,17,3,5,90,42,8,26,10,0,99,2,810,7,5,5,0.2,0,0,325,96,176,4,2,282,0.4,0.1,15,3,186,152,0.2,0.2,5,40,0,0,0,0,0,0,0
Apple Cake,272,11,7,72,106,40,1,22,4,0,63,1,76,3,1,1,0.1,0,7,59,8,69,11,0,102,0,0.1,3,0,1,62,0.2,0.2,1,43,0,0,0,0,0,0,0
Apple Carrot Soup,116,2,1,27,220,13,3,9,12,0,37,1,296,1,0,0,0,0,0,130,23,108,16,1,303,0.3,0.3,5,0,6,9,0.2,0.1,4,46,0,0,0,0,0,0,0
Apple Chunk Cake,240,6,1,31,312,45,2,27,3,0,14,1,98,2,2,2,0.3,0,5,55,9,45,10,0,15,0.1,0.1,3,1,6,66,0.2,0.2,1,29,0,0,0,0,0,0,0
Apple Corn Chili,360,11,3,35,140,48,9,15,20,0,100,3,897,6,2,2,0.2,4,8,365,97,307,13,2,27,0.6,0.2,46,2,11,112,0.4,0.2,8,88,0,0,0,0,0,0,0
Apple Oatmeal Muffins,125,1,0,0,133,28,2,14,3,0,101,1,105,0,0,0,0,0,0,56,16,88,6,1,13,0,0.1,1,0,1,34,0.1,0.1,1,8,0,0,0,0,0,0,0
Apple Pistachio Crisp,330,10,2,0,60,60,7,25,5,0,47,2,416,5,3,3,0.2,0,0,262,46,135,9,1,62,0.2,0,8,1,11,15,0.2,0.1,1,19,0,0,0,0,0,0,0
Apple Salad with Sweet & Tangy Yogurt Dressing,68,0,0,1,28,16,1,12,2,0,49,0,207,0,0,0,0,0,0,53,10,47,1,0,81,0.1,0.1,2,0,5,8,0,0.1,0,6,0,0,0,0,0,0,0
Apple Sandwiches,147,9,2,0,58,16,3,11,4,0,14,0,233,4,2,2,0,0,0,109,35,80,1,1,2,0.1,0,3,2,2,14,0,0,2,18,0,0,0,0,0,0,0
Apple Slice Pancakes,174,4,1,34,382,29,2,10,6,0,171,1,160,2,1,1,0.2,0,5,58,16,253,11,1,0,0.1,0.4,0,0,0,0,0.2,0.2,1,38,0,0,0,0,0,0,0
Apple Tuna Sandwiches,239,3,1,21,426,35,5,12,19,1,141,2,357,1,1,1,0.1,16,109,173,62,233,55,2,26,0.3,1.5,3,2,13,35,0.3,0.2,8,37,0,0,0,0,0,0,0
Apple Wedges with Pumpkin Almond Butter,244,13,2,0,100,33,7,24,5,0,104,1,397,7,3,3,0,0,0,278,78,138,1,1,242,0.1,0,8,6,8,19,0,0.4,1,19,0,0,0,0,0,0,0
Apple-Stuffed Squash,130,2,1,4,8,31,4,7,2,0,78,2,790,0,0,0,0.1,0,0,152,71,82,1,0,52,0.4,0,25,0,1,38,0.3,0,2,2,0,0,0,0,0,0,0
Applesauce,70,0,0,0,1,18,2,15,0,0,6,0,103,0,0,0,0,0,0,28,5,11,0,0,3,0,0,4,0,2,3,0,0,0,3,0,0,0,0,0,0,0
Applesauce Pancakes,249,4,1,55,202,46,2,12,7,1,144,2,146,2,1,1,0.2,0,9,0,16,138,0,1,44,0.1,0.2,1,1,2,130,0.4,0.3,3,54,0,90000,20000,0,0,0,0
Apricot & Lemon Chicken,241,4,1,84,83,19,0,13,31,0,26,2,296,1,1,1,0,10,20,82,33,235,28,1,6,0.6,0.3,7,0,0,9,0.1,0.1,14,88,0,0,0,0,0,0,0
Argentinean Grilled Steak with Salsa Criolla,220,11,4,70,80,5,1,3,25,0,29,2,433,6,1,1,0.1,0,0,106,27,199,26,4,30,0.6,1.4,9,1,38,20,0.1,0.1,7,95,0,0,0,0,0,0,0
Arroz Con Pollo,363,9,2,112,580,45,5,5,26,0,88,3,610,3,2,2,0.1,4,3,342,110,351,38,3,19,0.9,0.3,36,1,12,28,0.3,0.3,8,86,0,0,0,0,0,0,0
Arroz Con Pollo Chicken and Rice,556,33,8,94,145,35,3,4,30,0,46,3,586,13,8,7,0.5,13,66,288,54,337,26,2,119,0.7,0.5,32,1,21,123,0.4,0.3,12,105,0,0,0,0,0,0,0
Asian Mango Chicken Wraps,440,12,3,50,570,57,9,29,29,0,250,3,762,4,2,2,0.1,5,10,366,99,388,40,0,334,0.8,0.3,96,3,43,105,0.3,0.3,12,85,0,0,0,0,0.002,0,0
Asparagus with Gremolata Sauce,49,4,1,0,3,3,2,1,2,0,18,1,144,2,1,1,0.2,0,0,0,10,36,0,0,64,0.1,0,7,1,32,36,0.1,0.1,1,12,0,130000,2000,0,0,0,0
"Asparagus, Mandarin Orange, Chicken and Rice",440,11,2,70,0,51,6,12,33,0,63,3,737,6,2,2,0.1,9,17,367,119,378,0,3,110,0.8,0.3,50,43,130,130,0.5,0.3,15,119,0,0,42000,0,0,0,0
Aunt Barbara's Chocolate Squash Cake,286,17,3,41,378,33,1,17,4,0,77,2,169,7,6,6,0.7,0,6,189,23,141,9,1,19,0,0.1,0,2,12,48,0.1,0.1,1,35,0,0,0,0,0,0,0
Autumn Vegetable Succotash,203,8,1,0,43,30,7,6,7,0,37,2,637,5,1,1,0.1,0,0,107,52,118,2,1,71,0.4,0,73,2,14,75,0.2,0.2,2,44,0,0,0,0,0,0,0
Avocado and Corn Salsa,67,4,1,0,119,8,3,1,1,0,6,0,235,3,1,1,0,0,0,75,17,38,0,0,13,0.1,0,7,1,8,34,0,0.1,1,11,0,0,0,0,0,0,0
Avocado Breakfast Bruschetta,340,17,4,190,434,32,9,6,17,1,150,3,525,6,2,2,0.1,3,19,232,55,239,38,2,128,0.3,0.6,14,2,32,125,0.3,0.5,4,133,0,0,0,0,0,0,0
Avocado Melon Breakfast Smoothie,320,11,2,5,170,46,5,37,13,1,400,1,550,3,3,1,0.1,0,0,98,34,183,5,1,42,0.2,0.7,48,1,9,46,0.1,0.3,1,28,0,0,0,0,0,0,0
"Avocado, Potato, and Grilled Chicken Salad",300,11,2,40,280,34,6,6,19,0,60,2,1228,7,2,1,0.1,6,11,0,78,296,0,2,37,1,0.3,0,2,45,79,0.2,0.2,10,81,0,323000,17000,0,0,0,0
Awesome Granola,231,13,3,0,37,27,3,11,4,0,24,1,190,6,4,3,0.4,0,0,0,44,120,0,2,39,0,0,0,1,5,10,0.2,0,0,14,0,232000,7000,0,0,0,0
Baked Cauliflower Tots,107,5,3,72,296,9,2,1,7,0,93,1,240,2,0,0,0.1,0,10,52,16,119,9,1,52,0.2,0,32,0,11,70,0.1,0.2,1,81,200,0,0,0,0,0,0
Baked Chicken,112,2,1,56,49,1,0,0,21,0,12,1,183,1,1,0,0,7,13,42,20,154,18,1,4,0.4,0.2,0,0,1,3,0.1,0.1,9,57,0,0,0,0,0,0,0
Baked Chicken Nuggets,175,8,2,67,127,7,1,1,18,0,13,3,233,2,1,1,0.1,4,3,60,22,169,20,1,54,0.5,0,2,0,4,45,0.2,0.3,6,54,700,0,0,0,0,0,0
Baked Chicken with Vegetables,485,27,8,94,146,33,5,5,27,0,59,3,1093,11,6,5,0.3,13,66,291,69,336,20,2,579,1,0.4,33,1,17,46,0.3,0.3,10,111,0,0,0,0,0,0,0
Baked Fish and Vegetables,145,1,0,49,355,15,5,4,19,1,42,1,454,0,0,0,0,36,102,110,45,353,25,1,196,0.2,2,6,1,27,30,0.1,0.2,2,93,0,0,0,0,0,0,0
Baked Fish with Creole Sauce,111,1,0,50,576,7,2,4,17,1,31,1,492,0,1,0,0.1,36,102,91,35,326,25,1,33,0.3,2,19,2,10,19,0.1,0.1,3,79,0,0,0,0,0,0,0
Baked Lemon Chicken,261,5,1,123,521,12,2,5,40,0,54,3,684,2,1,1,0.1,19,57,167,57,418,33,3,26,1,0.7,23,0,16,34,0.2,0.3,15,0,0,0,0,0,0,0,0
Baked Lentils Casserole,200,4,2,12,418,29,11,6,14,0,142,4,668,1,0,0,0.1,0,0,338,55,279,5,2,250,0.3,0.1,15,1,8,212,0.7,0.2,2,46,0,0,0,0,0,0,0
Baked Meatballs,131,6,2,59,98,6,0,1,13,0,43,2,206,2,0,0,0,0,4,63,16,132,13,3,19,0.2,1.4,0,0,2,18,0.1,0.2,3,57,0,0,0,0,0,0,0
Baked Parmesan Fish,204,2,0,122,227,8,1,2,37,2,173,2,780,0,1,0,0,121,595,167,124,452,67,1,33,0.6,5.5,5,0,29,25,0.1,0.4,6,136,0,0,0,0,0,0,0
Baked Pork Chops,225,5,2,88,182,3,1,2,38,1,17,1,409,2,1,1,0,0,0,126,33,296,52,3,24,0.8,0.8,27,1,2,10,0.7,0.3,13,133,0,0,0,0,0,0,0
Baked Potatoes Primavera,342,0,0,7,189,74,13,8,12,0,177,3,1312,0,0,0,0.1,0,0,398,99,291,5,2,446,0.8,0.2,48,1,50,78,0.3,0.4,4,85,0,0,0,0,0,0,0
Baked Tofu,84,5,1,0,451,2,1,1,9,0,202,2,184,2,2,2,0.3,0,0,216,43,134,10,1,0,0.1,0,0,0,4,20,0.1,0.1,0,29,0,0,0,0,0,0,0
Baked Tortilla Chips,92,0,0,0,170,20,2,0,3,0,8,1,84,0,0,0,0,0,0,83,27,73,16,1,0,0.1,0,0,0,0,22,0.1,0.1,1,6,0,0,0,0,0,0,0
Baked Trout,153,4,1,69,135,3,1,1,24,0,84,1,643,2,2,0,0.1,194,489,148,41,325,15,1,39,0.5,5.2,14,0,0,22,0.2,0.1,6,0,0,0,0,0,0,0,0
Banana Berry Muffins,75,1,0,26,130,15,1,8,2,4,17,0,100,0,0,0,0,0,0,41,12,34,5,0,2,0.1,0,0,0,1,16,0.1,0.1,0,13,0,0,0,0,0,0,0
Banana Bread,137,3,0,16,328,26,1,10,3,0,26,1,155,1,1,1,0.1,0,2,53,14,44,7,0,12,0.1,0.1,3,0,3,55,0.1,0.1,1,18,0,0,0,0,0,0,0
Banana Cocoa Yogurt Pops,79,1,1,3,41,15,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0.1,0.3,3,0,0,13,0,0.1,0,12,0,0,0,0,0,0,0
Banana Cupcakes,211,10,2,31,203,29,1,15,3,0,31,1,96,4,3,2,0.2,0,5,44,10,46,8,0,14,0.1,0.1,2,1,5,53,0.1,0.1,1,28,0,0,0,0,0,0,0
Banana Oat Cookies,23,0,0,0,5,4,1,2,1,0,12,0,57,0,0,0,0,0,0,21,8,23,1,0,0,0,0,1,0,0,3,0,0,0,3,0,0,0,0,0,0,0
Banana Oatmeal Pancakes with Lentils,221,8,1,39,258,32,3,11,7,0,133,2,284,4,2,2,0.5,0,6,120,34,161,12,1,30,0.2,0.3,3,1,5,77,0.2,0.2,1,47,0,0,0,0,0,0,0
Banana Oatmeal Raisin Cookies,114,5,1,0,38,16,2,6,2,0,14,1,168,2,2,1,0.3,0,0,77,24,59,3,1,45,0.1,0,2,1,5,9,0.1,0,0,8,0,0,0,0,0,0,0
Banana Pancakes with Apple Topping,325,10,2,65,215,54,5,24,8,1,194,2,404,4,4,3,0.4,0,10,156,48,212,22,1,65,0.3,0.4,7,1,10,73,0.2,0.3,2,72,0,0,0,0,0,0,0
Banana Split Oatmeal,267,3,1,5,360,53,4,28,9,0,179,1,508,1,1,1,0.1,0,0,182,69,246,11,2,14,0.3,0.5,6,0,1,29,0.2,0.3,1,30,0,0,0,0,0,0,0
Banana Waldorf,312,2,1,5,151,66,3,55,12,1,382,1,835,0,1,1,0.3,0,0,231,64,321,9,2,9,0.5,1.1,12,0,2,43,0.1,0.5,1,44,0,0,0,0,0,0,0
Banana Walnut Oatmeal,292,6,1,2,118,52,5,21,11,1,180,2,590,1,3,2,0.3,0,0,277,96,301,15,3,82,0.3,0.5,6,0,1,33,0.3,0.4,1,42,0,0,0,0,0,0,0
Barley Jambalaya,230,5,1,15,440,41,9,9,9,0,80,3,549,2,1,1,0.2,0,1,0,53,144,13,1,45,0.6,0.1,48,2,14,51,0.2,0.2,5,37,0,248000,0,0,0,0,0
Barley Pilaf,120,2,0,0,15,24,3,1,2,0,18,1,144,1,1,1,0.1,0,0,124,21,56,7,1,1,0.1,0,2,0,5,20,0.1,0.1,2,14,0,0,0,0,0,0,0
Basic Custard,63,1,0,48,44,9,0,9,4,1,82,0,113,0,0,0,0,0,7,17,8,87,6,0,57,0,0.4,0,0,0,9,0,0.2,0,46,0,0,0,0,0,0,0
Basic Muffins,201,5,1,16,160,37,2,21,3,0,12,1,75,2,2,2,0.3,0,2,70,17,57,11,0,7,0.1,0,0,1,6,37,0.1,0.1,1,17,0,0,0,0,0,0,0
Basic Quiche,133,7,3,104,338,9,2,3,8,1,141,1,170,2,1,1,0.1,0,15,60,18,160,11,1,155,0.1,0.5,1,0,8,26,0.1,0.3,0,90,0,0,0,0,0,0,0
Basic Steamed Collards,7,0,0,0,4,1,1,0,1,0,50,0,46,0,0,0,0,0,0,10,6,5,0,0,54,0,0,8,0,94,28,0,0,0,5,0,0,0,0,0,0,0
Batido (Smoothie),118,1,1,4,46,25,3,16,4,0,132,0,534,0,0,0,0,0,0,0,33,105,0,1,49,0.3,0.3,49,1,2,45,0.1,0.2,1,16,0,65000,3000,0,0,0,0
BBQ Chicken Pizza,143,4,2,24,393,19,2,8,10,0,135,1,184,1,0,0,0.1,1,1,89,30,162,18,1,24,0.2,0.1,8,0,2,18,0.1,0.1,3,20,0,0,0,0,0,0,0
Bean and Rice Burritos,358,8,3,7,557,58,6,2,13,0,161,4,338,3,1,1,0.2,0,0,243,44,206,20,1,22,0.2,0.1,3,0,7,216,0.5,0.3,3,22,0,0,0,0,0,0,0
Bean Dip,124,7,4,20,198,9,3,1,8,0,154,1,178,2,0,0,0.1,0,0,95,23,159,3,1,55,0.1,0.2,1,0,3,19,0.1,0.1,0,21,0,0,0,0,0,0,0
Bean Enchiladas,375,8,3,8,825,59,11,3,17,0,271,5,621,3,2,0,0,0,0,0,77,302,0,2,58,0.3,0.1,1,2,8,145,0.4,0.3,3,44,0,390000,22000,0,0,0,0
Beef & Noodles,224,10,4,71,57,14,1,0,18,0,22,3,243,4,1,1,0.1,2,1,114,26,176,26,4,3,0.3,1.8,0,0,1,81,0.2,0.2,5,64,0,0,0,0,0,0,0
Beef & Potatoes,514,10,4,74,147,74,8,9,32,0,198,5,2125,4,0,0,0.1,0,0,511,124,512,22,7,72,1.5,3,76,0,11,79,0.4,0.5,9,136,0,0,0,0,0,0,0
Beef & Vegetable Soup,226,10,3,52,319,17,3,5,19,0,0,0,0,3,2,0,0.1,0,0,0,0,0,0,0,252,0.4,1.8,12,1,43,65,0.1,0.2,6,72,0,0,0,0,0,0,0
Beef and Bean Chile Verde,216,6,2,31,623,26,8,6,17,0,82,4,812,2,0,0,0.1,0,0,307,66,225,13,3,37,0.6,1.1,40,2,18,110,0.2,0.2,4,64,0,0,0,0,0,0,0
Beef and Cabbage for Dinner Tonight,246,9,4,71,107,16,6,8,25,0,111,4,750,4,0,0,0.1,0,0,134,51,256,19,6,11,0.7,2.5,85,1,174,110,0.2,0.3,6,97,0,0,0,0,0,0,0
Beef and Vegetable Soup,258,9,3,39,336,30,4,5,15,0,47,3,590,2,1,1,0.1,0,0,203,49,197,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beef and Vegetables,471,12,5,51,141,69,5,2,22,0,49,5,598,2,1,1,0.1,0,0,271,61,262,27,5,29,0.6,0,4,2,11,196,0.4,0.2,10,74,1800,0,0,0,0,0,0
Beefy Macaroni and Cheese,296,12,6,68,258,22,3,3,24,0,152,3,470,4,1,1,0.1,0,0,180,40,263,31,5,58,0.4,2,13,1,4,84,0.8,0.3,6,65,0,0,0,0,0,0,0
Beet & White Bean Salad,420,29,6,13,454,29,7,5,14,0,169,3,562,13,9,7,1.6,0,0,463,91,275,0,2,34,0.2,0.2,3,3,12,122,0.2,0.2,1,44,0,0,8000,0,0,0,0
"Beets, Beans, & Greens",150,5,1,0,176,22,7,5,6,0,58,2,534,2,2,2,0.4,0,0,216,47,126,2,1,24,0.1,0,8,1,29,126,0.2,0.1,1,28,0,0,0,0,0,0,0
Bell Pepper and Apple Coleslaw,154,9,1,0,229,17,5,9,4,0,83,1,386,5,3,3,0.2,0,0,161,48,91,2,1,10,0.2,0,99,3,91,60,0.1,0.1,1,19,0,0,0,0,0,0,0
Bell Pepper and Potato Salad,138,1,0,0,400,31,4,5,4,0,33,2,875,0,0,0,0,0,0,273,44,137,2,1,29,0.4,0.1,43,0,35,46,0.2,0.1,2,31,0,0,0,0,0,0,0
Bell Pepper and Vidalia Onion Strata with Fresh Salsa,240,9,2,189,371,21,4,8,19,1,246,2,463,5,1,1,0.1,2,16,223,52,298,36,2,142,0.3,0.9,39,2,10,61,0.2,0.5,2,132,0,0,0,0,0,0,0
Bell Pepper Nachos,120,5,3,45,640,5,2,3,14,0,90,1,330,1,0,0,0,0,0,88,24,157,13,1,53,0.5,0,69,1,9,16,0.1,0.1,4,35,200,0,0,0,0,0,0
Berries with Banana Cream,60,1,0,1,15,13,2,9,2,0,52,0,236,0,0,0,0.1,0,0,56,19,53,1,0,4,0.1,0.1,52,0,2,26,0,0.1,0,10,0,0,0,0,0,0,0
Berry Bread Pudding,236,3,1,0,320,44,7,13,9,0,122,2,241,1,1,1,0.2,0,0,197,58,161,18,1,2,0.2,0,3,2,25,38,0.3,0.2,4,25,0,0,0,0,0,0,0
Better Baking Mix,375,4,1,2,539,71,5,6,14,1,270,5,365,1,1,1,0.1,0,0,0,76,351,0,3,71,0.1,0.4,1,0,1,178,0.6,0.5,4,37,0,226000,32000,0,0,0,0
Black Bean and Rice Salad,520,12,2,0,688,87,17,3,18,0,114,5,823,4,5,4,0.7,0,0,633,167,409,22,3,5,0.5,0,22,3,18,142,0.6,0.2,4,70,0,0,0,0,0,0,0
Black Bean and Sweet Potato Quesadillas,449,11,3,6,814,73,9,5,15,0,258,6,577,5,2,2,0.1,0,0,347,65,270,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Bean Burgers,274,5,1,53,668,47,12,4,13,0,106,4,516,1,2,1,0.1,1,5,370,91,264,29,2,25,0.2,0.2,5,1,29,93,0.3,0.3,3,71,0,0,0,0,0,0,0
Black Bean Quesadillas,160,5,2,5,490,25,4,1,7,0,96,2,287,2,1,1,0.1,0,0,162,35,127,7,1,14,0.1,0,2,0,5,88,0.3,0.1,1,16,0,0,0,0,0,0,0
Black Bean Salsa,31,0,0,0,70,6,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.1,0,10,0,2,19,0.2,0,0,8,0,0,0,0,0,0,0
Black Bean Soup,322,6,0,0,917,60,20,4,20,0,158,7,1173,1,4,0,0.2,0,0,638,122,372,5,2,263,0.3,0.1,13,3,36,209,0.5,0.4,2,79,0,0,0,0,0,0,0
Black Beans,352,8,1,0,722,55,19,1,18,0,130,6,978,3,3,3,0.5,0,0,601,110,339,3,2,0,0.2,0,2,3,15,192,0.5,0.1,1,72,0,0,0,0,0,0,0
Black Skillet Beef with Greens and Red Potatoes,392,5,2,47,387,65,10,7,26,0,149,5,1819,2,1,0,0.1,1,0,1090,113,349,19,5,456,1.3,1.2,117,1,327,88,0.4,0.3,7,105,0,0,0,0,0,0,0
Black-Eyed Pea and Collard Greens Soup,190,4,1,8,535,26,8,5,13,0,77,3,485,2,1,1,0.3,0,0,362,71,241,11,2,0,0.3,0.2,8,0,82,166,0.3,0.2,2,0,0,0,0,0,0,0,0
Blue Corn Pan Bread,182,2,0,0,11,40,3,12,4,0,15,1,196,0,1,1,0,0,0,120,50,120,7,1,0,0.2,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0
Blueberry Chicken Pasta Salad with Field Greens,390,11,2,70,0,41,7,14,32,0,62,3,486,6,2,1,0.2,8,17,281,62,218,46,1,209,0.8,0.3,55,3,132,89,0.1,0.2,12,95,0,0,0,0,0,0,0
Blueberry Muffins,252,10,2,32,195,37,1,20,4,0,67,1,69,4,4,4,0.5,0,5,53,8,68,10,0,20,0,0.1,2,1,15,67,0.2,0.2,1,30,0,0,0,0,0,0,0
Brag About It Bread Bake,220,6,2,120,467,19,1,6,23,2,273,2,395,2,1,1,0.1,1,16,92,35,320,31,2,110,0.3,0.8,20,1,23,79,0.2,0.5,4,115,0,0,0,0,0,0,0
Braised Chicken Thighs with Spinach,185,8,2,112,423,5,2,1,22,0,94,3,667,3,2,1,0.2,4,3,163,80,224,23,2,340,0.6,0.3,22,2,353,146,0.1,0.3,6,75,0,0,0,0,0,0,0
Bread in a Bag,199,4,1,0,198,36,1,3,5,0,12,2,60,1,2,1,0.2,0,0,0,10,55,0,0,2,0,0,0,0,4,145,0.4,0.3,3,5,0,67000,14000,0,0,0,0
Breakfast Burrito,146,1,0,0,270,28,7,3,7,0,88,2,441,0,0,0,0.1,0,0,223,54,199,3,1,19,0.2,0.1,7,1,7,61,0.2,0.1,1,27,0,0,0,0,0,0,0
Breakfast Burrito with Salsa,246,9,3,186,479,30,2,2,11,1,104,3,223,4,2,2,0.1,0,29,129,23,179,27,1,89,0.2,0.5,7,1,4,116,0.3,0.4,2,155,0,0,0,0,0,0,0
Breakfast Parfait,209,1,1,3,44,49,3,40,4,0,133,1,503,0,0,0,0.1,0,0,189,41,113,4,1,12,0.3,0.3,16,0,7,22,0.2,0.2,1,21,0,0,0,0,0,0,0
Broccoli and Corn Bake,214,13,2,31,135,23,3,3,5,0,34,1,216,5,5,5,0.7,0,5,79,25,93,4,1,66,0.1,0.1,27,3,67,81,0.1,0.2,1,50,0,0,0,0,0,0,0
Broccoli Baked Potatoes,206,2,1,4,138,39,5,3,10,0,124,2,973,0,0,0,0,0,0,243,56,232,4,1,22,0.7,0.1,56,0,20,46,0.2,0.2,2,33,0,0,0,0,0,0,0
Broccoli Omelet,190,7,2,195,350,12,3,6,22,1,150,2,614,3,1,1,0.1,2,16,241,39,264,38,2,190,0.3,0.9,102,2,57,87,0.1,0.9,2,138,0,0,0,0,0,0,0
Broccoli Potato Soup,194,5,2,10,310,26,3,10,15,1,307,2,921,2,1,0,0.1,0,0,249,50,321,8,2,123,0.3,0.4,82,1,91,69,0.1,0.4,4,48,0,0,0,0,0,0,0
Broccoli Rice Casserole,237,10,5,22,273,27,2,4,10,1,215,1,371,3,1,1,0.3,0,0,149,31,207,11,1,114,0.2,0.3,50,1,60,109,0.2,0.3,1,24,0,0,0,0,0,0,0
Broccoli Salad,174,9,1,7,198,23,3,16,3,0,44,1,375,6,1,1,0.1,0,0,100,22,69,2,0,22,0.2,0,62,1,79,46,0.1,0.1,1,17,0,0,0,0,0,0,0
Broccoli Strawberry Orzo Salad,153,8,1,0,31,18,3,4,4,0,29,1,243,4,2,2,0.1,0,0,171,26,113,14,1,10,0.1,0,60,2,34,83,0.1,0.1,1,14,0,0,0,0,0,0,0
Broccoli-Cheddar Frittata,160,8,3,257,470,3,1,2,13,1,193,1,184,3,1,1,0.1,2,22,86,21,229,22,1,132,0.2,1,18,1,42,51,0.1,0.4,0,159,0,0,0,0,0,0,0
Broiled Tomatoes and Cheese,134,3,1,8,324,16,3,8,12,0,109,1,520,0,0,0,0,0,0,159,31,182,10,1,92,0.2,0.4,25,1,19,50,0.2,0.2,2,26,0,0,0,0,0,0,0
Bronco Beans,514,7,1,0,676,90,28,15,29,0,284,10,1752,2,4,1,0.2,0,0,0,196,546,11,3,34,1.3,0,68,4,45,247,0.6,0.5,4,139,0,948000,0,0,0,0,0
Brown Rice Pilaf,320,8,1,0,53,56,5,1,8,0,60,1,178,4,2,2,0,0,0,349,130,241,23,2,0,0.4,0,0,3,3,12,0.2,0.1,4,27,0,0,0,0,0,0,0
Brown Rice Tabbouleh,200,10,2,0,200,26,2,1,3,0,24,1,202,7,1,1,0.1,0,0,248,76,143,15,1,36,0.3,0,18,2,105,25,0.2,0.1,3,18,0,0,0,0,0,0,0
Brunswick Stew,180,4,1,33,324,22,5,4,17,0,36,2,621,1,1,1,0.1,1,2,0,46,188,0,1,6,0.5,0.1,10,1,5,67,0.2,0.2,5,57,0,224000,14000,0,0,0,0
Brussels Sprouts with Mushroom Sauce,54,1,0,0,69,10,4,2,5,0,46,2,458,0,0,0,0.1,0,0,153,24,97,4,1,34,0.2,0,76,1,160,58,0.2,0.2,2,22,0,0,0,0,0,0,0
Bugs on a Log,60,2,1,8,68,9,1,7,2,0,34,0,149,1,0,0,0,0,0,40,6,36,1,0,28,0,0,1,0,5,9,0,0,0,4,0,0,0,0,0,0,0
Bulgur Chickpea Salad,220,6,1,0,178,41,7,11,6,0,45,2,360,2,2,2,0.3,0,0,206,55,100,2,1,94,0.2,0,29,1,27,54,0.2,0.1,1,24,0,0,0,0,0,0,0
Butterfly Bite,135,9,2,0,146,11,1,5,5,0,14,1,189,4,2,2,0,0,0,104,35,82,1,1,2,0.1,0,0,2,3,32,0.1,0,2,18,0,0,0,0,0,0,0
Butternut Squash with Black Beans,232,1,0,0,291,44,14,2,13,0,116,5,883,0,1,0,0.2,0,0,446,96,247,2,1,341,0.2,0,14,2,7,146,0.4,0.1,2,48,0,0,0,0,0,0,0
